2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Balatonszőlős,28501,község,Veszprém,4903,Balatonfüredi,Balatonfüred,4,Helyben,1281,637,176,,,,,,,,,,,,,,
Balatonudvari,15565,község,Veszprém,4903,Balatonfüredi,Balatonfüred,1,–,1880,300,152,,,,,,,,,,,,,,
Balatonújlak,16470,község,Somogy,4406,Marcali,Marcali,6,Kéthely,1081,520,261,,,,,,,,,,,,,,
Balatonvilágos,03559,község,Veszprém,4902,Balatonalmádi,Balatonalmádi,1,–,2921,1173,605,,,,,,,,,,,,,,
Balinka,31103,község,Fejér,3705,Móri,Mór,4,Helyben,1862,948,382,,,,,,,1,,,,,,,
Balkány,26958,város,Szabolcs-Szatmár-Bereg,4506,Nagykállói,Nagykálló,1,–,8999,6298,2496,,,1,,,,,,,,,,,
Ballószög,13408,község,Bács-Kiskun,3304,Kecskeméti,Kecskemét,1,–,3500,3399,1083,,,,,,,,,,,,,,
Balmazújváros,02918,város,Hajdú-Bihar,3901,Balmazújvárosi,Balmazújváros,1,–,20545,17383,6705,,,1,,,,1,,,,,,,
Balogunyom,05102,község,Vas,4808,Szombathelyi,Szombathely,4,Helyben,1212,1212,430,,,,,,,,,,,,,,
Balotaszállás,25937,község,Bács-Kiskun,3307,Kiskunhalasi,Kiskunhalas,1,–,10494,1493,821,,,1,,,,,,,,,,,
Balsa,15963,község,Szabolcs-Szatmár-Bereg,4511,Ibrány-Nagyhalászi,Ibrány,4,Helyben,2251,841,431,,,,,,,,,,,,,,
Bálványos,24457,község,Somogy,4410,Balatonföldvári,Balatonföldvár,6,Balatonföldvár,2369,516,267,,,,,,,,,,,,,,
Bana,31422,község,Komárom-Esztergom,4104,Komáromi,Komárom,1,–,2513,1606,563,,,1,,,,,,,,,,,
Bánd,14173,község,Veszprém,4908,Veszprémi,Veszprém,6,Márkó,984,668,238,,,,,,,1,,,,,,,
Bánfa,07603,község,Baranya,3206,Szigetvári,Szigetvár,6,Rózsafa,1206,189,80,,,,,,,,,,,,,,
Bánhorváti,25159,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,1,–,2848,1359,594,,,,,,,,,,,,,,
Bánk,24341,község,Nógrád,4204,Rétsági,Rétság,4,Helyben,990,671,269,,,,,,,,,,,,1,,
Bánokszentgyörgy,08439,község,Zala,5003,Letenyei,Letenye,6,Borsfa,3254,651,298,,,,,,,,,,,,,,
Bánréve,21953,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,1,–,662,1302,556,,,1,,,,,,,,,,,
Bár,24378,község,Baranya,3202,Mohácsi,Mohács,6,Dunaszekcső,900,537,218,,,,,,,1,,,,,,,
Barabás,26480,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,6,Tiszakerecseny,3819,745,382,,,,,,,,,,,,,,
Baracs,07047,község,Fejér,3702,Dunaújvárosi,Dunaújváros,1,–,5518,3527,1306,,,,,,,,,,,,,,
Baracska,08581,község,Fejér,3710,Ercsi,Ercsi,4,Helyben,3968,2741,983,,,1,,,,,,,,,,,
Báránd,26693,község,Hajdú-Bihar,3907,Püspökladányi,Püspökladány,1,–,4257,2543,1190,,,1,,,,,,,,,,,
Baranyahídvég,20464,község,Baranya,3204,Sellyei,Sellye,6,Sámod,849,198,87,,,1,,,,,,,,,,,
Baranyajenő,24749,község,Baranya,3203,Sásdi,Sásd,4,Helyben,1555,493,169,,,1,,,,,,,,,,,
Baranyaszentgyörgy,05485,község,Baranya,3203,Sásdi,Sásd,6,Baranyajenő,727,118,76,,,1,,,,,,,,,,,
Barbacs,06196,község,Győr-Moson-Sopron,3801,Csornai,Csorna,4,Helyben,1365,724,312,,,,,,,,,,,,,,
Barcs,32799,város,Somogy,4401,Barcsi,Barcs,1,–,12290,11532,4526,,,1,,1,,1,,,,,,,
Bárdudvarnok,03735,község,Somogy,4411,Kadarkúti,Kadarkút,1,–,4856,1218,548,,,1,,,,,,,,,,,
Barlahida,27447,község,Zala,5002,Lenti,Lenti,4,Helyben,610,131,86,,,,,,,,,,,,,,
Bárna,20048,község,Nógrád,4205,Salgótarjáni,Salgótarján,6,Mátranovák,1539,1079,456,,,1,,,,,,,,,,,
Barnag,15778,község,Veszprém,4908,Veszprémi,Veszprém,6,Nagyvázsony,1201,112,83,,,,,,,1,,,,,,,
Bársonyos,08624,község,Komárom-Esztergom,4103,Kisbéri,Kisbér,4,Helyben,1687,740,304,,,,,,,,,,,,,,
Basal,15495,község,Baranya,3206,Szigetvári,Szigetvár,6,Somogyapáti,404,199,71,,,,,,,,,,,,,,
Baskó,08846,község,Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,6,Abaújszántó,2963,182,117,,,,,,,,,,1,,,,
Báta,11712,község,Tolna,4704,Szekszárdi,Szekszárd,1,–,6616,1709,823,,,1,,,,,,,,,,,
Bátaapáti,28909,község,Tolna,4701,Bonyhádi,Bonyhád,6,Mórágy,2044,401,140,,,,,,,,,,,,,,
Bátaszék,08864,város,Tolna,4704,Szekszárdi,Szekszárd,3,Helyben,6355,6466,2569,,,1,,,,1,,,,,,,
Baté,32337,község,Somogy,4404,Kaposvári,Kaposvár,4,Helyben,1028,834,301,,,1,,,,,,,,,,,
Bátmonostor,03656,község,Bács-Kiskun,3301,Bajai,Baja,6,Baja,3795,1495,702,,,,,,,,,,,,,,
Bátonyterenye,33534,város,Nógrád,4202,Bátonyterenyei,Bátonyterenye,1,–,7892,12826,5841,,,1,,,,,,,,,,,
Bátor,24022,község,Heves,4007,Bélapátfalvai,Bélapátfalva,6,Egerbocs,2732,407,196,,,,,,,,,,,,,,
Bátorliget,02990,község,Szabolcs-Szatmár-Bereg,4507,Nyírbátori,Nyírbátor,6,Terem,3330,668,354,,,,,,,,,,,,,,
Battonya,18102,város,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,1,–,14571,5609,3099,,,1,,,,,,1,,1,,,
Bátya,11961,község,Bács-Kiskun,3303,Kalocsai,Kalocsa,1,–,3386,2051,972,,,,,1,,,,,,,,,
Batyk,24864,község,Zala,5006,Zalaszentgróti,Zalaszentgrót,6,Türje,809,387,191,,,,,,,,,,,,,,
Bázakerettye,18698,község,Zala,5003,Letenyei,Letenye,4,Helyben,803,820,392,,,,,,,,,,,,,,
Bazsi,07427,község,Veszprém,4905,Sümegi,Sümeg,6,Sümegprága,910,385,205,,,,,,,,,,,,,,
Béb,22901,község,Veszprém,4904,Pápai,Pápa,6,Csót,704,264,108,,,,,,,1,,,,,,,
Becsehely,23144,község,Zala,5003,Letenyei,Letenye,4,Helyben,3608,2082,760,,,1,,1,,,,,,,,,
Becske,12016,község,Nógrád,4201,Balassagyarmati,Balassagyarmat,6,Bercel,1566,534,286,,,1,,,,,,,,,,,
Becskeháza,27049,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Hidvégardó,500,40,40,,,,,,,,,,,,,,
Becsvölgye,18360,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Nova,2140,803,355,,,,,,,,,,,,,,
Bedegkér,20710,község,Somogy,4409,Tabi,Tab,6,Miklósi,2600,470,248,,,1,,,,,,,,,,,
Bedő,33446,község,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,6,Körösszakál,1020,246,142,,,1,,,,,,1,,,,,
Bejcgyertyános,10384,község,Vas,4806,Sárvári,Sárvár,6,Nyőgér,3143,457,270,,,,,,,,,,,,,,
Békás,27058,község,Veszprém,4904,Pápai,Pápa,6,Mezőlak,652,215,97,,,,,,,,,,,,,,
Bekecs,06929,község,Borsod-Abaúj-Zemplén,3509,Szerencsi,Szerencs,1,–,2572,2410,933,,,,,,,,,,,,,,
Békés,09760,város,Békés,3407,Békési,Békés,1,–,12723,19981,8274,,,1,,,,1,,1,,,1,,
Békéscsaba,15200,"megyeszékhely, megyei jogú város",Békés,3401,Békéscsabai,Békéscsaba,1,–,19393,64074,29441,,,1,,,1,,,1,,,1,,
Békéssámson,26189,község,Békés,3403,Orosházai,Orosháza,1,–,7121,2341,1136,,,,,,,,,,,,,,
Békésszentandrás,02680,nagyközség,Békés,3405,Szarvasi,Szarvas,1,–,7745,3790,1930,,,,,,,,,,,,,,
Bekölce,04400,község,Heves,4007,Bélapátfalvai,Bélapátfalva,1,–,1377,647,368,,,,,,,,,,,,,,
Bélapátfalva,33260,város,Heves,4007,Bélapátfalvai,Bélapátfalva,3,Helyben,3663,3027,1151,,,1,,,,,,,,,,,
Bélavár,06910,község,Somogy,4401,Barcsi,Barcs,1,–,2278,341,221,,,1,,,,,,,,,,,
Belecska,28662,község,Tolna,4705,Tamási,Tamási,4,Helyben,1439,427,142,,,,,,,,,,,,,,
Beled,10588,város,Győr-Moson-Sopron,3803,Kapuvár-Beledi,Kapuvár,3,Helyben,2647,2592,1106,,,,,,,,,,,,,,
Beleg,17127,község,Somogy,4407,Nagyatádi,Nagyatád,6,Segesd,1799,594,233,,,1,,,,,,,,,,,
Belezna,09168,község,Zala,5004,Nagykanizsai,Nagykanizsa,4,Helyben,3093,797,283,,,,,1,,,,,,,,,
Bélmegyer,19390,község,Békés,3407,Békési,Békés,4,Helyben,6305,997,575,,,,,,,,,,,,,,
Beloiannisz,08466,község,Fejér,3709,Adonyi,Adony,1,–,454,1126,436,,,,1,,,,,,,,,,
Belsősárd,20950,község,Zala,5002,Lenti,Lenti,6,Rédics,979,100,44,,,,,,,,,,,,,,
Belvárdgyula,19008,község,Baranya,3202,Mohácsi,Mohács,1,–,1723,416,183,,,1,,,,,,,,,,,
Benk,25441,község,Szabolcs-Szatmár-Bereg,4512,Záhonyi,Záhony,6,Mándok,850,448,189,,,,,,,,,,,,,,
Bénye,25098,község,Pest,4305,Monori,Monor,4,Helyben,1652,1249,505,,,,,,,,,,,,,,
Bér,32911,község,Nógrád,4203,Pásztói,Pásztó,1,–,2549,373,212,,,1,,,,,,,,,1,,
Bérbaltavár,32124,község,Vas,4809,Vasvári,Vasvár,4,Helyben,2567,478,308,,,,,,,,,,,,,,
Bercel,02389,község,Nógrád,4201,Balassagyarmati,Balassagyarmat,4,Helyben,3588,2073,741,,,,,,,,,,,,,,
Beregdaróc,28246,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,1,–,2382,731,364,,,,,,,,,,,,,,
Beregsurány,20677,község,Szabolcs-Szatmár-Bereg,4510,Vásárosnaményi,Vásárosnamény,4,Helyben,1600,650,237,,,,,,,,,,,,,,
Berekböszörmény,18467,község,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,1,–,4284,1692,787,,,1,,,,,,,,,,,
Berekfürdő,34005,község,Jász-Nagykun-Szolnok,4602,Karcagi,Karcag,1,– ,1857,973,483,,,,,,,,,,,,,,
Beremend,31927,nagyközség,Baranya,3205,Siklósi,Siklós,3,Helyben,4826,2573,1028,,,1,,,,1,,,,,,,
Berente,34290,község,Borsod-Abaúj-Zemplén,3504,Kazincbarcikai,Kazincbarcika,1,–,922,1119,434,*,,1,,,,,,,,,,,
Beret,29674,község,Borsod-Abaúj-Zemplén,3503,Encsi,Encs,6,Baktakék,682,274,95,,,1,,,,,,,,,,,
Berettyóújfalu,12788,város,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,1,–,17098,15317,6334,,,1,,,,,,,,,,,
Berhida,33127,város,Veszprém,4907,Várpalotai,Várpalota,3,Helyben,4273,5955,2043,,,1,,,,1,,,,,,,
Berkenye,09034,község,Nógrád,4204,Rétsági,Rétság,4,Helyben,1346,623,260,,,,,,,1,,,,,,,
Berkesd,16461,község,Baranya,3208,Pécsváradi,Pécsvárad,4,Helyben,1904,853,290,,,1,,,,1,,,,,,,
Berkesz,07472,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,6,Demecser,1318,876,345,,,1,,,,,,,,,,,
Bernecebaráti,18777,község,Pest,4308,Szobi,Szob,6,Kemence,3769,846,456,,,,,,,,,,,,,,
Berzék,26356,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,4,Helyben,1059,1098,348,,,,,,,,,,,,,,
Berzence,30119,nagyközség,Somogy,4402,Csurgói,Csurgó,1,–,5376,2508,996,,,1,,,,,,,,,,,
Besence,30049,község,Baranya,3204,Sellyei,Sellye,6,Csányoszró,958,123,48,,,1,,,,,,,,,,,
Besenyőd,13639,község,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,6,Levelek,945,651,257,,,1,,,,,,,,,,,
Besenyőtelek,27517,község,Heves,4003,Füzesabonyi,Füzesabony,1,–,4910,2611,1107,,,1,,,,,,,,,,,
Besenyszög,11305,község,Jász-Nagykun-Szolnok,4604,Szolnoki,Szolnok,1,–,13808,3411,1431,,,,,,,,,,,,,,
Besnyő,16346,község,Fejér,3709,Adonyi,Adony,1,–,4464,1801,664,,,,,,,,,,,,,,
Beszterec,21227,község,Szabolcs-Szatmár-Bereg,4511,Ibrány-Nagyhalászi,Ibrány,4,Helyben,1159,1026,383,,,1,,,,,,,,,,,
Bezedek,14119,község,Baranya,3202,Mohácsi,Mohács,6,Lippó,1136,237,108,,,,,,,1,,,,,,,
Bezenye,29805,község,Győr-Moson-Sopron,3804,Mosonmagyaróvári,Mosonmagyaróvár,1,–,3003,1426,555,,,,,1,,,,,,,,,
Bezeréd,12830,község,Zala,5008,Pacsai,Pacsa,6,Nagykapornak,1214,157,156,,,,,,,,,,,,,,
Bezi,10560,község,Győr-Moson-Sopron,3801,Csornai,Csorna,6,Rábacsécsény,1122,500,201,,,,,,,1,,,,,,,
Biatorbágy,08891,város,Pest,4310,Budaörsi,Budaörs,1,–,4412,12567,4429,,,,1,,1,1,,,1,,,,
Bicsérd,13310,község,Baranya,3209,Szentlőrinci,Szentlőrinc,4,Helyben,1975,1023,352,,,,,,,,,,,,,,
Bicske,10481,város,Fejér,3701,Bicskei,Bicske,1,–,7708,11659,4020,,,1,,,,,,,,,,,
Bihardancsháza,25256,község,Hajdú-Bihar,3907,Püspökladányi,Püspökladány,6,Nagyrábé,831,185,105,,,,,,,,,,,,,,
Biharkeresztes,19956,város,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,3,Helyben,4926,3851,1662,,,1,,,,,,1,,,,,
Biharnagybajom,24828,község,Hajdú-Bihar,3907,Püspökladányi,Püspökladány,1,–,6135,2725,1137,,,1,,,,,,,,,,,
Bihartorda,29887,község,Hajdú-Bihar,3907,Püspökladányi,Püspökladány,1,–,2238,890,436,,,1,,,,,,,,,,,
Biharugra,29610,község,Békés,3404,Sarkadi,Sarkad,4,Helyben,5284,846,579,,,,,,,,,,,,,,
Bikács,11970,község,Tolna,4703,Paksi,Paks,6,Nagydorog,3467,433,220,,,1,,,,,,,,,,,
Bikal,04899,község,Baranya,3203,Sásdi,Sásd,6,Egyházaskozár,1703,745,333,,,,,,,1,,,,,,,
Biri,02945,község,Szabolcs-Szatmár-Bereg,4506,Nagykállói,Nagykálló,1,–,2259,1298,496,,,,,,,,,,,,,,
Birján,05139,község,Baranya,3207,Pécsi,Pécs,6,Kozármisleny,907,511,203,,,,,1,,1,,,,,,,
Bisse,24925,község,Baranya,3205,Siklósi,Siklós,6,Szalánta,1380,240,115,,,,,,,,,,,,,,
Boba,29203,község,Vas,4801,Celldömölki,Celldömölk,1,–,1095,800,329,,,,,,,,,,,,,,
Bocfölde,17543,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,4,Helyben,873,1136,409,,,1,,,,,,,,,,,
Boconád,22354,község,Heves,4002,Hevesi,Heves,1,–,2956,1301,629,,,,,,,,,,,,,,
Bócsa,08305,község,Bács-Kiskun,3305,Kiskőrösi,Kiskőrös,1,–,9704,1803,949,,,,,,,,,,,,,,
Bocska,31291,község,Zala,5004,Nagykanizsai,Nagykanizsa,6,Zalaszentbalázs,738,371,144,,,,,,,,,,,,,,
Bocskaikert,34102,község,Hajdú-Bihar,3909,Hajdúhadházi,Hajdúhadház,1,–,1089,2949,1072,,,,,,,,,,,,,,
Boda,20899,község,Baranya,3209,Szentlőrinci,Szentlőrinc,1,–,1542,432,169,,,,,,,,,,,,,,
Bodajk,18254,város,Fejér,3705,Móri,Mór,1,–,2898,4081,1491,,,,,,,,,,,,,,
Bodmér,11624,község,Fejér,3701,Bicskei,Bicske,6,Csákvár,717,225,122,,,,,,,,,,,,,,
Bodolyabér,33002,község,Baranya,3201,Komlói,Komló,6,Magyarhertelend,909,225,115,,,,,,,,,,,,,,
Bodonhely,06220,község,Győr-Moson-Sopron,3806,Téti,Tét,6,Bágyogszovát,1110,280,134,,,,,,,,,,,,,,
Bodony,14933,község,Heves,4006,Pétervásárai,Pétervására,1,–,2897,724,460,,,1,,,,,,,,,,,
Bodorfa,04321,község,Veszprém,4905,Sümegi,Sümeg,6,Káptalanfa,222,105,55,,,,,,,,,,,,,,
Bodrog,10506,község,Somogy,4404,Kaposvári,Kaposvár,6,Osztopán,1478,432,172,,,,,,,,,,,,,,
Bodroghalom,23737,község,Borsod-Abaúj-Zemplén,3513,Bodrogközi,Cigánd,1,–,2687,1297,564,,,1,,,,,,,,,,,
Bodrogkeresztúr,30784,község,Borsod-Abaúj-Zemplén,3515,Tokaji,Tokaj,1,–,2988,1122,559,,,,,,,,,,,,,,
Bodrogkisfalud,33808,község,Borsod-Abaúj-Zemplén,3515,Tokaji,Tokaj,4,Helyben,1467,862,433,,,,,,,,,,,,,,
Bodrogolaszi,14401,község,Borsod-Abaúj-Zemplén,3507,Sárospataki,Sárospatak,4,Helyben,2061,920,400,,,,,,,,,,,,,,
Bódvalenke,27429,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Hidvégardó,663,172,63,,,1,,,,,,,,,,,
Bódvarákó,33303,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Bódvaszilas,922,108,82,,,,,,,,,,,,,,
Bódvaszilas,05926,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,4,Helyben,1922,1041,486,,,1,,,,1,,,,,,,
Bogács,25195,község,Borsod-Abaúj-Zemplén,3505,Mezőkövesdi,Mezőkövesd,1,–,2470,2007,970,,,1,,,,,,,,,,,
Bogád,32151,község,Baranya,3207,Pécsi,Pécs,6,Romonya,784,1080,326,,,,,,,,,,,,,,
Bogádmindszent,21892,község,Baranya,3204,Sellyei,Sellye,4,Helyben,1158,410,136,,,1,,,,,,,,,,,
Bogdása,10694,község,Baranya,3204,Sellyei,Sellye,6,Drávafok,2099,287,128,,,1,,,,,,,,,,,
Bogyiszló,03425,község,Tolna,4704,Szekszárdi,Szekszárd,1,–,5593,2211,912,,,1,,,,,,,,,,,
Bogyoszló,04367,község,Győr-Moson-Sopron,3801,Csornai,Csorna,6,Szilsárkány,2621,605,317,,,,,,,,,,,,,,
Bojt,14137,község,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,6,Biharkeresztes,2688,482,246,,,1,,,,,,,,,,,
Bókaháza,19929,község,Zala,5001,Keszthelyi,Keszthely,6,Zalaapáti,670,314,147,,,1,,,,,,,,,,,
Bokod,07311,község,Komárom-Esztergom,4105,Oroszlányi,Oroszlány,1,–,2993,2133,807,,,,,,,,,,,,,,
Bokor,03841,község,Nógrád,4203,Pásztói,Pásztó,6,Nógrádsipek,675,108,74,,,,,,,,,,,,1,,
Boldog,03452,község,Heves,4005,Hatvani,Hatvan,1,–,2674,2996,1183,,,1,,,,,,,,,,,
Boldogasszonyfa,13116,község,Baranya,3206,Szigetvári,Szigetvár,6,Szentlászló,1722,425,216,,,,,,,1,,,,,,,
Boldogkőújfalu,18944,község,Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,6,Boldogkőváralja,1102,546,214,,,1,,,,,,,,,,,
Boldogkőváralja,14474,község,Borsod-Abaúj-Zemplén,3512,Abaúj-Hegyközi,Gönc,4,Helyben,2203,1154,435,,,1,,,,,,,1,,,,
Boldva,08396,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,4,Helyben,2834,2312,803,,,1,,,,,,,,,,,
Bolhás,13994,község,Somogy,4407,Nagyatádi,Nagyatád,6,Somogyszob,3143,420,196,,,1,,,,,,,,,,,
Bolhó,18120,község,Somogy,4401,Barcsi,Barcs,4,Helyben,2507,713,401,,,1,,1,,,,,,,,,
Bóly,33154,város,Baranya,3202,Mohácsi,Mohács,3,Helyben,2538,3984,1539,,,,,,,1,,,,,,,
Boncodfölde,10782,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Teskánd,590,358,138,,,,,,,,,,,,,,
Bonyhád,06497,város,Tolna,4701,Bonyhádi,Bonyhád,3,Helyben,7213,13829,5606,,,1,,,,1,,,,,,,
Bonyhádvarasd,14818,község,Tolna,4701,Bonyhádi,Bonyhád,6,Kisdorog,1045,407,158,,,,,,,1,,,,,,,
Bonnya,22673,község,Somogy,4409,Tabi,Tab,6,Kisbárapáti,1462,260,147,,,1,,,,,,,,,,,
Bordány,08192,község,Csongrád,3605,Mórahalomi,Mórahalom,1,–,3648,3277,1438,,,,,,,,,,,,,,
Borgáta,03090,község,Vas,4801,Celldömölki,Celldömölk,6,Káld,621,155,101,,,,,,,,,,,,,,
Borjád,06725,község,Baranya,3202,Mohácsi,Mohács,4,Helyben,1559,402,161,,,,,,,1,,,,,,,
Borota,19327,község,Bács-Kiskun,3310,Jánoshalmai,Jánoshalma,4,Helyben,8180,1303,737,,,,,,,,,,,,,,
Borsfa,10056,község,Zala,5003,Letenyei,Letenye,4,Helyben,1183,730,287,,,,,,,,,,,,,,
Borsodbóta,30669,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,4,Helyben,813,866,358,,,1,,,,,,,,,,,
Borsodgeszt,16124,község,Borsod-Abaúj-Zemplén,3505,Mezőkövesdi,Mezőkövesd,6,Vatta,1507,256,180,,,,,,,,,,,,,,
Borsodivánka,06707,község,Borsod-Abaúj-Zemplén,3505,Mezőkövesdi,Mezőkövesd,4,Helyben,1590,737,241,,,,,,,,,,,,,,
Borsodnádasd,05315,város,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,1,–,2807,3037,1386,,,1,,,,,,,,,,,
Borsodszentgyörgy,30207,község,Borsod-Abaúj-Zemplén,3506,Ózdi,Ózd,1,–,2152,1122,484,,,,,,,,,,,,,,
Borsodszirák,16799,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,1,–,1101,1185,390,,,1,,,,,,,,,,,
Borsosberény,09894,község,Nógrád,4204,Rétsági,Rétság,1,–,2026,1006,398,,,1,,,,,,,,,,,
Borszörcsök,04765,község,Veszprém,4911,Devecseri,Devecser,6,Somlóvásárhely,1180,362,156,,,,,,,,,,,,,,
Borzavár,30252,község,Veszprém,4909,Zirci,Zirc,1,–,1300,705,344,,,,,,,1,,,,,,,
Bosta,14368,község,Baranya,3207,Pécsi,Pécs,6,Szalánta,595,150,54,,,1,,,,,,,,,,,
Botpalád,22239,község,Szabolcs-Szatmár-Bereg,4503,Fehérgyarmati,Fehérgyarmat,4,Helyben,1650,582,247,,,1,,,,,,,,,,,
Botykapeterd,13365,község,Baranya,3206,Szigetvári,Szigetvár,6,Nagypeterd,1743,335,134,,,1,,,,,,,,,,,
Bozzai,06390,község,Vas,4808,Szombathelyi,Szombathely,6,Vép,443,324,119,,,,,,,,,,,,,,
Bozsok,05023,község,Vas,4804,Kőszegi,Kőszeg,6,Velem,2091,326,140,,,,,,,,,,,,,,
Bózsva,31006,község,Borsod-Abaúj-Zemplén,3508,Sátoraljaújhelyi,Sátoraljaújhely,6,Füzérkomlós,1639,183,126,,,,,,,,,,,,,,
Bő,05476,község,Vas,4802,Csepregi,Csepreg,4,Helyben,1065,632,306,,,,,,,,,,,,,,
Bőcs,05306,község,Borsod-Abaúj-Zemplén,3501,Miskolci,Miskolc,1,–,2432,2799,956,,,1,,,,,,,,,,,
Böde,22877,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Teskánd,917,292,130,,,,,,,,,,,,,,
Bödeháza,04163,község,Zala,5002,Lenti,Lenti,6,Rédics,667,65,58,,,,,,,,,,,,,,
Bögöt,11651,község,Vas,4806,Sárvári,Sárvár,4,Helyben,499,380,168,,,,,,,,,,,,,,
Bögöte,07296,község,Vas,4806,Sárvári,Sárvár,4,Helyben,2074,294,151,,,,,,,,,,,,,,
Böhönye,26532,község,Somogy,4406,Marcali,Marcali,4,Helyben,6417,2350,949,,,1,,,,,,,,,,,
Bököny,11299,község,Szabolcs-Szatmár-Bereg,4506,Nagykállói,Nagykálló,1,–,3547,3225,1271,,,1,,,,,,,,,,,
Bölcske,06558,község,Tolna,4703,Paksi,Paks,1,–,5878,2828,1269,,,,,,,,,,,,,,
Bőny,33950,község,Győr-Moson-Sopron,3802,Győri,Győr,1,–,5042,2187,785,,,1,,,,,,,,,,,
Börcs,06619,község,Győr-Moson-Sopron,3802,Győri,Győr,6,Abda,1278,1296,425,,,,,,,,,,,,,,
Börzönce,21139,község,Zala,5004,Nagykanizsai,Nagykanizsa,6,Zalaszentbalázs,560,50,35,,,,,,,,,,,,,,
Bősárkány,15501,nagyközség,Győr-Moson-Sopron,3801,Csornai,Csorna,3,Helyben,2333,2125,790,,,,,,,,,,,,,,
Bőszénfa,26277,község,Somogy,4404,Kaposvári,Kaposvár,6,Simonfa,4295,575,196,,,,,,,,,,,,,,
Bucsa,13471,község,Békés,3406,Szeghalomi,Szeghalom,4,Helyben,5582,2093,984,,,,,,,,,,,,,,
Bucsu,32984,község,Vas,4808,Szombathelyi,Szombathely,6,Felsőcsatár,1654,593,218,,,,,,,,,,,,,,
Búcsúszentlászló,20613,község,Zala,5008,Pacsai,Pacsa,4,Helyben,154,825,294,,,,,,,,,,,,,,
Bucsuta,07986,község,Zala,5003,Letenyei,Letenye,6,Pusztamagyaród,1619,226,111,,,,,,,,,,,,,,
Budajenő,03407,község,Pest,4310,Budaörsi,Budaörs,1,–,1242,1830,582,,,,,,,1,,,,,,,
Budakalász,23463,város,Pest,4314,Szentendrei,Szentendre,1,–,1517,10452,3682,,,,,,,1,,,,1,,,
Budakeszi,12052,város,Pest,4310,Budaörsi,Budaörs,1,–,3710,14311,5420,,,,,,,1,,,,,,,
Budaörs,23278,város,Pest,4310,Budaörsi,Budaörs,1,–,2359,29428,10517,,,,1,,,1,1,1,1,,1,,
Budapest I. kerület,09566,fővárosi kerület,főváros,3101,Budapesti,Budapest,1,–,341,24628,16625,,,,1,,,1,1,,,,1,,
Budapest II. kerület,03179,fővárosi kerület,főváros,3101,Budapesti,Budapest,1,–,3634,88086,47972,,1,,1,1,1,1,1,1,1,1,,,1
Budapest III. kerület,18069,fővárosi kerület,főváros,3101,Budapesti,Budapest,1,–,3970,123552,61848,,1,1,1,,1,1,1,1,1,1,1,,
Budapest IV. kerület,05467,fővárosi kerület,főváros,3101,Budapesti,Budapest,1,–,1882,98800,47364,,1,1,1,1,1,1,1,1,1,1,1,,1
Budapest IX. kerület,29586,fővárosi kerület,főváros,3101,Budapesti,Budapest,1,–,1253,63268,39496,,1,1,1,,,1,1,1,1,1,1,,1
