2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Baja,03522,város,Bács-Kiskun,3301,Bajai,Baja,3,Helyben,17761,37508,16085,,,1,,1,,1,,,,1,,,
Bajánsenye,17020,község,Vas,4805,Őriszentpéteri,Őriszentpéter,4,Helyben,2185,475,246,,,,,,,,,,,,,,
Bajna,16744,község,Komárom-Esztergom,4101,Dorogi,Dorog,1,–,3727,1938,763,,,1,,,,,,,,,,,
Bajót,29355,község,Komárom-Esztergom,4102,Esztergomi,Esztergom,4,Helyben,1644,1558,543,,,1,,,,,,,,,,,
Bak,04738,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,4,Helyben,2305,1673,612,,,1,,,,,,,,,,,
Bakháza,14395,község,Somogy,4407,Nagyatádi,Nagyatád,6,Háromfa,592,184,85,,,,,,,,,,,,,,
Bakóca,22275,község,Baranya,3203,Sásdi,Sásd,6,Mindszentgodisa,1065,271,160,,,1,,,,,,,,,,,
Bakonszeg,15167,község,Hajdú-Bihar,3902,Berettyóújfalui,Berettyóújfalu,1,–,3503,1167,586,,,,,,,,,,,,,,
Bakonya,08299,község,Baranya,3207,Pécsi,Pécs,6,Cserkút,1507,383,143,,,1,,,,,,,,,,,
Bakonybánk,24244,község,Komárom-Esztergom,4103,Kisbéri,Kisbér,6,Réde,1506,430,220,,,,,,,,,,,,,,
Bakonybél,23746,község,Veszprém,4909,Zirci,Zirc,4,Helyben,2436,1208,585,,,,,,,,,,,,,,
Bakonycsernye,08730,község,Fejér,3705,Móri,Mór,1,–,3813,3076,1225,,,,,,,,,,,,1,,
Bakonygyirót,28936,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,6,Bakonyszentlászló,685,154,117,,,,,,,,,,,,,,
Bakonyjákó,29513,község,Veszprém,4904,Pápai,Pápa,4,Helyben,4718,628,258,,,1,,,,1,,,,,,,
Bakonykoppány,07287,község,Veszprém,4904,Pápai,Pápa,6,Ugod,683,186,119,,,,,,,1,,,,,,,
Bakonykúti,23153,község,Fejér,3707,Székesfehérvári,Székesfehérvár,6,Iszkaszentgyörgy,1245,127,70,,,,,,,,,,,,,,
Bakonynána,25991,község,Veszprém,4909,Zirci,Zirc,6,Dudar,1493,1026,393,,,,,,,1,,,,,,,
Bakonyoszlop,30410,község,Veszprém,4909,Zirci,Zirc,6,Bakonyszentkirály,1420,511,212,,,,,,,1,,,,,,,
Bakonypéterd,22062,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,6,Tarjánpuszta,1002,269,124,,,,,,,,,,,,,,
Bakonypölöske,06327,község,Veszprém,4910,Ajkai,Ajka,6,Ganna,1104,374,163,,,,,,,1,,,,,,,
Bakonyság,29902,község,Veszprém,4904,Pápai,Pápa,6,Lovászpatona,856,49,49,,,,,,,,,,,,,,
Bakonysárkány,25229,község,Komárom-Esztergom,4103,Kisbéri,Kisbér,4,Helyben,1412,943,389,,,,,,,1,,,,,,,
Bakonyszentiván,23922,község,Veszprém,4904,Pápai,Pápa,6,Gic,914,215,117,,,1,,,,1,,,,,,,
Bakonyszentkirály,22813,község,Veszprém,4909,Zirci,Zirc,4,Helyben,2790,826,379,,,,,,,,,,,,,,
Bakonyszentlászló,05944,község,Győr-Moson-Sopron,3807,Pannonhalmai,Pannonhalma,4,Helyben,3853,1728,773,,,1,,,,,,,,,,,
Bakonyszombathely,22381,község,Komárom-Esztergom,4103,Kisbéri,Kisbér,1,–,3653,1413,606,,,,,,,,,,,,,,
Bakonyszücs,26417,község,Veszprém,4904,Pápai,Pápa,6,Ugod,3521,312,157,,,,,,,1,,,,,,,
Bakonytamási,24129,község,Veszprém,4904,Pápai,Pápa,6,Pápateszér,2049,624,290,,,1,,,,,,,,,,,
Baks,29106,község,Csongrád,3603,Kisteleki,Kistelek,1,–,6192,2031,883,,,1,,,,,,,,,,,
Baksa,03975,község,Baranya,3207,Pécsi,Pécs,4,Helyben,1382,765,270,,,1,,,,1,,,,,,,
Baktakék,18184,község,Borsod-Abaúj-Zemplén,3503,Encsi,Encs,4,Helyben,1885,716,296,,,1,,,,,,,,,,,
Baktalórántháza,02325,város,Szabolcs-Szatmár-Bereg,4501,Baktalórántházai,Baktalórántháza,1,–,3525,4350,1208,,,1,,,,,,,,,,,
Baktüttös,15097,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,6,Tófej,971,328,143,,,,,,,,,,,,,,
Balajt,22521,község,Borsod-Abaúj-Zemplén,3502,Edelényi,Edelény,6,Ládbesenyő,903,475,149,,,1,,,,,,,,,,,
Balassagyarmat,13657,város,Nógrád,4201,Balassagyarmati,Balassagyarmat,3,Helyben,2374,16396,6748,*,,1,,,,,,,,,,,
Balástya,23676,község,Csongrád,3603,Kisteleki,Kistelek,1,–,11000,3417,1937,,,,,,,,,,,,,,
Balaton,11527,község,Heves,4007,Bélapátfalvai,Bélapátfalva,4,Helyben,1320,1058,457,,,,,,,,,,,,,,
Balatonakali,25308,község,Veszprém,4903,Balatonfüredi,Balatonfüred,1,–,3620,621,280,,,,,,,,,,,,,,
Balatonalmádi,05838,város,Veszprém,4902,Balatonalmádi,Balatonalmádi,1,–,4988,9062,4216,,,,,,,,,,,,,,
Balatonberény,27377,község,Somogy,4406,Marcali,Marcali,1,–,2609,1150,677,,,,,,,,,,,,,,
Balatonboglár,33853,város,Somogy,4403,Fonyódi,Fonyód,3,Helyben,3204,5934,2821,,,,,,,,,,,,,,
Balatoncsicsó,03072,község,Veszprém,4903,Balatonfüredi,Balatonfüred,6,Szentantalfa,1320,213,98,,,,,,,1,,,,,,,
Balatonederics,12238,község,Veszprém,4906,Tapolcai,Tapolca,4,Helyben,1858,1043,461,,,,,,,,,,,,,,
Balatonendréd,19460,község,Somogy,4408,Siófoki,Siófok,1,–,4002,1356,561,,,,,,,,,,,,,,
Balatonfenyves,20729,község,Somogy,4403,Fonyódi,Fonyód,1,–,5193,1851,1121,,,,,,,,,,,,,,
Balatonfőkajár,29461,község,Veszprém,4902,Balatonalmádi,Balatonalmádi,1,–,2192,1320,545,,,1,,,,,,,,,,,
Balatonföldvár,07117,város,Somogy,4410,Balatonföldvári,Balatonföldvár,3,Helyben,1532,2041,1194,,,,,,,,,,,,,,
Balatonfüred,21175,város,Veszprém,4903,Balatonfüredi,Balatonfüred,1,–,4645,13584,5706,,,1,,,,,,,,,,,
Balatonfűzfő,02219,város,Veszprém,4902,Balatonalmádi,Balatonalmádi,1,–,925,4302,1910,,,,,,,,,,,,,,
Balatongyörök,17002,község,Zala,5001,Keszthelyi,Keszthely,4,Helyben,3759,1085,457,,,,,,,,,,,,,,
Balatonhenye,03638,község,Veszprém,4906,Tapolcai,Tapolca,6,Köveskál,1173,104,66,,,,,,,,,,,,,,
Balatonkenese,05148,város,Veszprém,4902,Balatonalmádi,Balatonalmádi,3,Helyben,6557,3224,1696,,,,,,,,,,,,,,
Balatonkeresztúr,07375,község,Somogy,4406,Marcali,Marcali,4,Helyben,2106,1432,698,,,,,,,,,,,,,,
Balatonlelle,33862,város,Somogy,4403,Fonyódi,Fonyód,1,–,4323,4824,2346,,,,,,,,,,,,,,
Balatonmagyaród,26462,község,Zala,5009,Zalakarosi,Zalakaros,6,Zalavár,3153,470,259,,,,,,,,,,,,,,
Balatonmáriafürdő,14562,község,Somogy,4406,Marcali,Marcali,6,Balatonkeresztúr,2677,648,404,,,,,,,,,,,,,,
Balatonőszöd,11916,község,Somogy,4410,Balatonföldvári,Balatonföldvár,6,Balatonszemes,1508,519,347,,,,,,,,,,,,,,
Balatonrendes,33844,község,Veszprém,4906,Tapolcai,Tapolca,6,Ábrahámhegy,676,112,72,,,,,,,,,,,,,,
Balatonszabadi,16601,község,Somogy,4408,Siófoki,Siófok,4,Helyben,4134,2983,1141,,,,,,,,,,,,,,
Balatonszárszó,24907,nagyközség,Somogy,4410,Balatonföldvári,Balatonföldvár,1,–,3013,1895,941,,,,,,,,,,,,,,
Balatonszemes,22822,község,Somogy,4410,Balatonföldvári,Balatonföldvár,4,Helyben,3602,1793,789,,,,,,,,,,,,,,
Balatonszentgyörgy,21324,község,Somogy,4406,Marcali,Marcali,4,Helyben,2368,1566,697,,,1,,,,,,,,,,,
Balatonszepezd,17154,község,Veszprém,4903,Balatonfüredi,Balatonfüred,1,–,2506,406,217,,,,,,,,,,,,,,
